date,fund,company,ticker,shares,market value($),weight(%)
2021-02-17,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,8507277.0,72822291.12,0.58
2021-02-17,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,3884135.0,261363444.15,2.07
2021-02-17,ARKG,BEAM THERAPEUTICS INC,BEAM,1943651.0,206901648.95,1.64
2021-02-17,ARKG,BERKELEY LIGHTS INC,BLI,2566645.0,191343384.75,1.52
2021-02-17,ARKG,BRISTOL-MYERS SQUIBB CO,BMY,2963534.0,179560525.06,1.43
2021-02-17,ARKG,BUTTERFLY NETWORK INC,BFLY,2390687.0,62875068.1,0.5
2021-02-17,ARKG,CAREDX INC,CDNA,5482351.0,467425246.26,3.71
2021-02-17,ARKG,CASTLE BIOSCIENCES INC,CSTL,2818166.0,254142209.88,2.02
2021-02-17,ARKG,CELLECTIS - ADR,CLLS,5957819.0,151983962.69,1.21
2021-02-17,ARKG,CERUS CORP,CERS,8048279.0,60764506.45,0.48
2021-02-17,ARKG,CM LIFE SCIENCES INC-CLASS A,CMLF,1797992.0,41857253.76,0.33
2021-02-17,ARKG,CODEXIS INC,CDXS,6072671.0,156067644.7,1.24
2021-02-17,ARKG,COMPUGEN LTD,CGEN,5646841.0,74594769.61,0.59
2021-02-17,ARKG,CRISPR THERAPEUTICS AG,CRSP,2277211.0,341649966.33,2.71
2021-02-17,ARKG,EDITAS MEDICINE INC,EDIT,1788504.0,101068361.04,0.8
2021-02-17,ARKG,EVOGENE LTD,EVGN,4523692.0,40306095.72,0.32
2021-02-17,ARKG,EXACT SCIENCES CORP,EXAS,3703825.0,522202286.75,4.14
2021-02-17,ARKG,FATE THERAPEUTICS INC,FATE,4094946.0,422680326.12,3.35
2021-02-17,ARKG,GUARDANT HEALTH INC,GH,763030.0,128654488.3,1.02
2021-02-17,ARKG,HIMS & HERS HEALTH INC,HIMS,510653.0,10744139.12,0.09
2021-02-17,ARKG,INCYTE CORP,INCY,3242846.0,271653209.42,2.16
2021-02-17,ARKG,INTELLIA THERAPEUTICS INC,NTLA,2150518.0,147955638.4,1.17
2021-02-17,ARKG,INVITAE CORP,NVTA,6100075.0,291949589.5,2.32
2021-02-17,ARKG,IONIS PHARMACEUTICALS INC,IONS,4082810.0,238027823.0,1.89
2021-02-17,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,8305665.0,394685200.8,3.13
2021-02-17,ARKG,MORGAN STANLEY GOVT INSTL 8035,,68452209.62,68452209.62,0.54
2021-02-17,ARKG,NANOSTRING TECHNOLOGIES INC,NSTG,1438994.0,113291997.62,0.9
2021-02-17,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,4937475.0,444817122.75,3.53
2021-02-17,ARKG,ORGANOVO HOLDINGS INC,ONVO ,369323.0,6300650.38,0.05
2021-02-17,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,16972683.0,749683408.11,5.95
2021-02-17,ARKG,PERSONALIS INC,PSNL,6652305.0,264961308.15,2.1
2021-02-17,ARKG,PHREESIA INC,PHR,1857791.0,140244642.59,1.11
2021-02-17,ARKG,PLURISTEM THERAPEUTICS INC,PSTI,3786203.0,28623694.68,0.23
2021-02-17,ARKG,PURE STORAGE INC - CLASS A,PSTG,8597088.0,237795454.08,1.89
2021-02-17,ARKG,REGENERON PHARMACEUTICALS,REGN,1107488.0,533454819.84,4.23
2021-02-17,ARKG,REPARE THERAPEUTICS INC,RPTX,1271346.0,41890850.7,0.33
2021-02-17,ARKG,ROCHE HOLDINGS LTD-SPONS ADR,RHHBY,11225060.0,479871315.0,3.81
2021-02-17,ARKG,SAREPTA THERAPEUTICS INC,SRPT,1802213.0,161478284.8,1.28
2021-02-17,ARKG,SCHRODINGER INC,SDGR,1969713.0,206819865.0,1.64
2021-02-17,ARKG,SERES THERAPEUTICS INC,MCRB,3506722.0,84441865.76,0.67
2021-02-17,ARKG,SIGNIFY HEALTH INC -CLASS A,SGFY,589087.0,22444214.7,0.18
2021-02-17,ARKG,SURFACE ONCOLOGY INC,SURF,3882292.0,40608774.32,0.32
2021-02-17,ARKG,SYROS PHARMACEUTICALS INC,SYRS,3118280.0,35579574.8,0.28
2021-02-17,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,21201988.0,371670849.64,2.95
2021-02-17,ARKG,TELADOC HEALTH INC,TDOC,3593781.0,1034505798.66,8.21
2021-02-17,ARKG,THERMO FISHER SCIENTIFIC INC,TMO,380494.0,189661039.24,1.51
2021-02-17,ARKG,TWIST BIOSCIENCE CORP,TWST,3823178.0,592401431.1,4.7
2021-02-17,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,721462.0,228191215.98,1.81
2021-02-17,ARKG,VERACYTE INC,VCYT,2087245.0,154456130.0,1.23
2021-02-17,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,2053178.0,441125293.3,3.5
2021-02-17,ARKF,ADYEN NV,ADYEN,57121.0,148575268.23,3.0
2021-02-17,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,490998.0,132976988.34,2.68
2021-02-17,ARKF,AMAZON.COM INC,AMZN,31346.0,103712629.44,2.09
2021-02-17,ARKF,APPLE INC,AAPL,665788.0,87111701.92,1.76
2021-02-17,ARKF,BASE INC,4477,449800.0,56501133.36,1.14
2021-02-17,ARKF,BILL.COM HOLDINGS INC,BILL,137619.0,24225072.57,0.49
2021-02-17,ARKF,DISCOVERY LTD,DSY,4490739.0,42987169.64,0.87
2021-02-17,ARKF,DOCUSIGN INC,DOCU,394669.0,100632701.62,2.03
2021-02-17,ARKF,DRAFTKINGS INC - CL A,DKNG,364766.0,21470126.76,0.43
2021-02-17,ARKF,FACEBOOK INC-CLASS A,FB,287094.0,78540305.58,1.59
2021-02-17,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,422463.0,52947287.79,1.07
2021-02-17,ARKF,HDFC BANK LTD-ADR,HDB,539243.0,44115469.83,0.89
2021-02-17,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,1446251.0,163108187.78,3.29
2021-02-17,ARKF,INTUIT INC,INTU,173128.0,71988353.68,1.45
2021-02-17,ARKF,JD.COM INC-ADR,JD,664417.0,71012888.96,1.43
2021-02-17,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,81159.0,6289822.5,0.13
2021-02-17,ARKF,KE HOLDINGS INC,BEKE,836876.0,55794522.92,1.13
2021-02-17,ARKF,LENDINGCLUB CORP,LC,1879598.0,23213035.3,0.47
2021-02-17,ARKF,LENDINGTREE INC,TREE UW,172402.0,59649367.98,1.2
2021-02-17,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,440763.0,31257669.85,0.63
2021-02-17,ARKF,MARKETAXESS HOLDINGS INC,MKTX,32721.0,17528966.91,0.35
2021-02-17,ARKF,MEITUAN-CLASS B,3690,2268182.0,132063765.09,2.67
2021-02-17,ARKF,MERCADOLIBRE INC,MELI,84503.0,159731795.75,3.22
2021-02-17,ARKF,MORGAN STANLEY GOVT INSTL 8035,,30046121.26,30046121.26,0.61
2021-02-17,ARKF,NVIDIA CORP,NVDA,78100.0,46566344.0,0.94
2021-02-17,ARKF,OPENDOOR TECHNOLOGIES INC,OPEN,3220609.0,101513595.68,2.05
2021-02-17,ARKF,PAYPAL HOLDINGS INC,PYPL,796180.0,236624696.0,4.78
2021-02-17,ARKF,PINDUODUO INC-ADR,PDD,241625.0,49006382.5,0.99
2021-02-17,ARKF,PING AN HEALTHCARE AND TECHN,1833,2975300.0,53229384.41,1.07
2021-02-17,ARKF,PINTEREST INC- CLASS A,PINS,2081691.0,179649933.3,3.63
2021-02-17,ARKF,SCHWAB (CHARLES) CORP,SCHW,942064.0,57748523.2,1.17
2021-02-17,ARKF,SEA LTD-ADR,SE,612556.0,164299770.32,3.32
2021-02-17,ARKF,SHOPIFY INC - CLASS A,SHOP,112653.0,160530525.0,3.24
2021-02-17,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,1219641.0,205643669.01,4.15
2021-02-17,ARKF,SNAP INC - A,SNAP,1860885.0,116714707.2,2.36
2021-02-17,ARKF,SPLUNK INC,SPLK,432456.0,73733748.0,1.49
2021-02-17,ARKF,SQUARE INC - A,SQ,1708009.0,462767958.46,9.34
2021-02-17,ARKF,TAIWAN SEMICONDUCTOR-SP ADR,TSM,389845.0,53124178.15,1.07
2021-02-17,ARKF,TCS GROUP HOLDING-GDR REG S,TCS LI,1327279.0,69682147.5,1.41
2021-02-17,ARKF,TELADOC HEALTH INC,TDOC,240855.0,69332520.3,1.4
2021-02-17,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,2109517.0,205277099.27,4.14
2021-02-17,ARKF,TWILIO INC - A,TWLO,291307.0,119916526.55,2.42
2021-02-17,ARKF,VERISK ANALYTICS INC,VRSK,150056.0,28294559.36,0.57
2021-02-17,ARKF,WORKDAY INC-CLASS A,WDAY,322514.0,87417419.7,1.76
2021-02-17,ARKF,YEAHKA LTD,9923,10073600.0,157222353.36,3.17
2021-02-17,ARKF,Z HOLDINGS CORP,4689,14222830.0,88899403.99,1.79
2021-02-17,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,15274845.0,155255591.37,3.13
2021-02-17,ARKF,ZILLOW GROUP INC - C,Z,1308567.0,248313673.92,5.01
