date,fund,company,ticker,shares,market value($),weight(%)
2021-02-22,IZRL,ONE SOFTWARE TECHNOLOGIES LT,ONE,48337.0,6472853.12,1.67
2021-02-22,IZRL,DANEL (ADIR YEOSHUA) LTD,DANE,40669.0,6387312.14,1.65
2021-02-22,IZRL,MATRIX IT LTD,MTRX,264903.0,6309627.99,1.63
2021-02-22,IZRL,BATM ADVANCED COMMUNICATIONS,BATM,4150053.0,6310809.7,1.63
2021-02-22,IZRL,ELECTRA CONSUMER PRODUCTS 19,ECP,157195.0,6304451.45,1.62
2021-02-22,IZRL,ELBIT SYSTEMS LTD,ESLT,45155.0,6248583.28,1.61
2021-02-22,IZRL,PLASSON INDUSTRIES LTD,PLSN,120189.0,6262699.28,1.61
2021-02-22,IZRL,FATTAL HOLDINGS 1998 LTD,FTAL,56580.0,6199575.06,1.6
2021-02-22,IZRL,NOVA MEASURING INSTRUMENTS,NVMI,74773.0,6098485.88,1.57
2021-02-22,IZRL,TOWER SEMICONDUCTOR LTD,TSEM,195778.0,6100442.48,1.57
2021-02-22,IZRL,SAPIENS INTERNATIONAL CORP,SPNS,181895.0,6013448.7,1.55
2021-02-22,IZRL,AUGWIND ENERGY TECH STORAGE,BIMCM,192488.0,6005029.22,1.55
2021-02-22,IZRL,HILAN LTD,HLAN,132634.0,6030017.91,1.55
2021-02-22,IZRL,MALAM - TEAM LTD,MLTM,21861.0,5933159.8,1.53
2021-02-22,IZRL,ARAD LTD,ARD,393476.0,5940055.89,1.53
2021-02-22,IZRL,HAMLET (ISRAEL-CANADA) LTD,HAML,317047.0,5905411.08,1.52
2021-02-22,IZRL,RADWARE LTD,RDWR,217505.0,5874810.05,1.51
2021-02-22,IZRL,TARO PHARMACEUTICAL INDUS,TARO,78174.0,5803637.76,1.5
2021-02-22,IZRL,BEZEQ THE ISRAELI TELECOM CO,BEZQ,5862632.0,5833286.08,1.5
2021-02-22,IZRL,KAMADA LTD,KMDA,861352.0,5814689.67,1.5
2021-02-22,IZRL,CERAGON NETWORKS LTD,CRNT,1154499.0,5830219.95,1.5
2021-02-22,IZRL,CYBERARK SOFTWARE LTD/ISRAEL,CYBR,36792.0,5826381.12,1.5
2021-02-22,IZRL,NANO DIMENSION LTD - ADR,NNDM,461266.0,5742761.7,1.48
2021-02-22,IZRL,AUDIOCODES LTD,AUDC,188697.0,5711858.19,1.47
2021-02-22,IZRL,MAGIC SOFTWARE ENTERPRISES,MGIC,329223.0,5588934.24,1.44
2021-02-22,IZRL,JFROG LTD,FROG,90537.0,5555350.32,1.43
2021-02-22,IZRL,CHECK POINT SOFTWARE TECH,CHKP,47691.0,5529294.54,1.42
2021-02-22,IZRL,ITAMAR MEDICAL LTD,ITMR,6671696.0,5408682.78,1.39
2021-02-22,IZRL,NICE LTD - SPON ADR,NICE,22374.0,5381618.22,1.39
2021-02-22,IZRL,TEVA PHARMACEUTICAL-SP ADR,TEVA,496949.0,5386927.16,1.39
2021-02-22,IZRL,COMPUGEN LTD,CGEN,453493.0,5360287.26,1.38
2021-02-22,IZRL,SOLAREDGE TECHNOLOGIES INC,SEDG,18341.0,5295046.7,1.36
2021-02-22,IZRL,PLURISTEM THERAPEUTICS INC,PSTI,756293.0,5157918.26,1.33
2021-02-22,IZRL,CELLCOM ISRAEL LTD,CEL,1325210.0,4970019.29,1.28
2021-02-22,IZRL,NANO-X IMAGING LTD,NNOX,93502.0,4837793.48,1.25
2021-02-22,IZRL,MORGAN STANLEY GOVT INSTL 8035,,1587746.36,1587746.36,0.41
2021-02-22,IZRL,BIONDVAX PHARMACEUTICALS-ADR,BVXV,9720.0,46850.4,0.01
