date,fund,company,ticker,shares,market value($),weight(%)
2021-03-31,ARKX,ALIBABA GROUP HOLDING-SP ADR,BABA,4408.0,1010534.0,1.59
2021-03-31,ARKX,ALPHABET INC-CL C,GOOG,854.0,1755431.16,2.76
2021-03-31,ARKX,AMAZON.COM INC,AMZN,612.0,1869837.48,2.94
2021-03-31,ARKX,ANSYS INC,ANSS,1837.0,609681.93,0.96
2021-03-31,ARKX,ATLAS CREST INVESTMENT COR-A,ACIC,44755.0,452920.6,0.71
2021-03-31,ARKX,AUTODESK INC,ADSK,1898.0,509480.14,0.8
2021-03-31,ARKX,BOEING CO/THE,BA,8990.0,2265569.9,3.57
2021-03-31,ARKX,DASSAULT SYSTEMES SE,DSY,7502.0,1590099.74,2.5
2021-03-31,ARKX,DEERE & CO,DE,5327.0,1991871.84,3.14
2021-03-31,ARKX,ELBIT SYSTEMS LTD,ESLT,6613.0,935078.2,1.47
2021-03-31,ARKX,GARMIN LTD,GRMN U,9797.0,1280761.81,2.02
2021-03-31,ARKX,HEICO CORP,HEI,5756.0,712592.8,1.12
2021-03-31,ARKX,HONEYWELL INTERNATIONAL INC,HON,3245.0,707702.05,1.11
2021-03-31,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,69311.0,2758577.8,4.34
2021-03-31,ARKX,JD.COM INC-ADR,JD,37350.0,3100050.0,4.88
2021-03-31,ARKX,KOMATSU LTD,6301,93188.0,2938333.73,4.63
2021-03-31,ARKX,KRATOS DEFENSE & SECURITY,KTOS,134895.0,3766268.4,5.93
2021-03-31,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,15613.0,3170688.04,4.99
2021-03-31,ARKX,LOCKHEED MARTIN CORP,LMT,7654.0,2836113.16,4.47
2021-03-31,ARKX,MEITUAN-CLASS B,3690,12576.0,474956.73,0.75
2021-03-31,ARKX,NETFLIX INC,NFLX,1589.0,815776.71,1.28
2021-03-31,ARKX,NVIDIA CORP,NVDA,4041.0,2080589.67,3.28
2021-03-31,ARKX,RAVEN INDUSTRIES INC,RAVN,31405.0,1173918.9,1.85
2021-03-31,ARKX,REINVENT TECHNOLOGY-CLASS A,RTP,45000.0,458550.0,0.72
2021-03-31,ARKX,SPIRIT AEROSYSTEMS HOLD-CL A,SPR,42063.0,2082118.5,3.28
2021-03-31,ARKX,SYNOPSYS INC,SNPS,2572.0,616251.2,0.97
2021-03-31,ARKX,TAIWAN SEMICONDUCTOR-SP ADR,TSM,5450.0,627131.5,0.99
2021-03-31,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,3980.0,1609551.8,2.53
2021-03-31,ARKX,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,7837.0,617790.71,0.97
2021-03-31,ARKX,TERADYNE INC,TER,14389.0,1668548.44,2.63
2021-03-31,ARKX,THALES SA,HO,25234.0,2519732.78,3.97
2021-03-31,ARKX,THE 3D PRINTING ETF,PRNT,100170.0,3808463.4,6.0
2021-03-31,ARKX,TRIMBLE INC,TRMB,70782.0,5382263.28,8.47
2021-03-31,ARKX,VIRGIN GALACTIC HOLDINGS INC,SPCE,41146.0,1240140.44,1.95
2021-03-31,ARKX,WORKHORSE GROUP INC,WKHS,49167.0,658837.8,1.04
2021-03-31,ARKX,XILINX INC,XLNX,5082.0,611364.6,0.96
2021-04-01,ARKX,AEROVIRONMENT INC,AVAV,45850.0,5321351.0,1.53
2021-04-01,ARKX,AIRBUS SE,AIR,48528.0,5493993.55,1.58
2021-04-01,ARKX,ALIBABA GROUP HOLDING-SP ADR,BABA,23933.0,5426329.09,1.56
2021-04-01,ARKX,ALPHABET INC-CL C,GOOG,4704.0,9730835.52,2.8
2021-04-01,ARKX,AMAZON.COM INC,AMZN,3362.0,10402296.96,2.99
2021-04-01,ARKX,ANSYS INC,ANSS,10087.0,3425141.72,0.98
2021-04-01,ARKX,ATLAS CREST INVESTMENT COR-A,ACIC,243580.0,2447979.0,0.7
2021-04-01,ARKX,AUTODESK INC,ADSK,10148.0,2812518.2,0.81
2021-04-01,ARKX,BOEING CO/THE,BA,48865.0,12446892.8,3.58
2021-04-01,ARKX,DASSAULT SYSTEMES SE,DSY,40777.0,8722250.65,2.51
2021-04-01,ARKX,DEERE & CO,DE,28977.0,10841454.78,3.12
2021-04-01,ARKX,ELBIT SYSTEMS LTD,ESLT,36038.0,5153434.0,1.48
2021-04-01,ARKX,GARMIN LTD,GRMN U,53247.0,7020616.95,2.02
2021-04-01,ARKX,HEICO CORP,HEI,31331.0,3941439.8,1.13
2021-04-01,ARKX,HONEYWELL INTERNATIONAL INC,HON,17545.0,3808493.15,1.09
2021-04-01,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,376761.0,15541391.25,4.47
2021-04-01,ARKX,JD.COM INC-ADR,JD,203175.0,17133747.75,4.92
2021-04-01,ARKX,KOMATSU LTD,6301,505688.0,15614786.83,4.49
2021-04-01,ARKX,KRATOS DEFENSE & SECURITY,KTOS,733295.0,20004287.6,5.75
2021-04-01,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,84913.0,17210166.84,4.95
2021-04-01,ARKX,LOCKHEED MARTIN CORP,LMT,41479.0,15326490.5,4.4
2021-04-01,ARKX,MEITUAN-CLASS B,3690,67576.0,2592089.53,0.74
2021-04-01,ARKX,MORGAN STANLEY GOVT INSTL 8035,,27134.93,27134.93,0.01
2021-04-01,ARKX,NETFLIX INC,NFLX,8464.0,4415330.24,1.27
2021-04-01,ARKX,NVIDIA CORP,NVDA,21916.0,11701609.88,3.36
2021-04-01,ARKX,RAVEN INDUSTRIES INC,RAVN,170830.0,6547913.9,1.88
2021-04-01,ARKX,REINVENT TECHNOLOGY-CLASS A,RTP,244925.0,2485988.75,0.71
2021-04-01,ARKX,SPIRIT AEROSYSTEMS HOLD-CL A,SPR,228788.0,11130536.2,3.2
2021-04-01,ARKX,SYNOPSYS INC,SNPS,13847.0,3431009.66,0.99
2021-04-01,ARKX,TAIWAN SEMICONDUCTOR-SP ADR,TSM,29650.0,3507002.0,1.01
2021-04-01,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,21580.0,8926567.0,2.57
2021-04-01,ARKX,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,42487.0,3390462.6,0.97
2021-04-01,ARKX,TERADYNE INC,TER,78189.0,9514037.52,2.73
2021-04-01,ARKX,THALES SA,HO,137159.0,13626951.65,3.92
2021-04-01,ARKX,THE 3D PRINTING ETF,PRNT,544570.0,21151098.8,6.08
2021-04-01,ARKX,TRIMBLE INC,TRMB,384832.0,29936081.28,8.6
2021-04-01,ARKX,VIRGIN GALACTIC HOLDINGS INC,SPCE,223746.0,6853339.98,1.97
2021-04-01,ARKX,WORKHORSE GROUP INC,WKHS,267792.0,3687495.84,1.06
2021-04-01,ARKX,XILINX INC,XLNX,27632.0,3423604.8,0.98
2021-04-05,ARKX,AEROVIRONMENT INC,AVAV,59178.0,7062894.3,1.54
2021-04-05,ARKX,AIRBUS SE,AIR,62640.0,7407771.07,1.61
2021-04-05,ARKX,ALIBABA GROUP HOLDING-SP ADR,BABA,30891.0,6930704.76,1.51
2021-04-05,ARKX,ALPHABET INC-CL C,GOOG,6076.0,12988969.0,2.83
2021-04-05,ARKX,AMAZON.COM INC,AMZN,4342.0,13725062.0,2.99
2021-04-05,ARKX,ANSYS INC,ANSS,13027.0,4583549.95,1.0
2021-04-05,ARKX,ATLAS CREST INVESTMENT COR-A,ACIC,314532.0,3183063.84,0.69
2021-04-05,ARKX,AUTODESK INC,ADSK,13088.0,3715683.2,0.81
2021-04-05,ARKX,BOEING CO/THE,BA,63075.0,15955452.0,3.47
2021-04-05,ARKX,DASSAULT SYSTEMES SE,DSY,52635.0,11606787.67,2.53
2021-04-05,ARKX,DEERE & CO,DE,37405.0,13919148.6,3.03
2021-04-05,ARKX,ELBIT SYSTEMS LTD,ESLT,46524.0,6699456.0,1.46
2021-04-05,ARKX,GARMIN LTD,GRMN U,68731.0,9107544.81,1.98
2021-04-05,ARKX,HEICO CORP,HEI,40445.0,5176151.1,1.13
2021-04-05,ARKX,HONEYWELL INTERNATIONAL INC,HON,22641.0,4908568.8,1.07
2021-04-05,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,486325.0,19550265.0,4.25
2021-04-05,ARKX,JD.COM INC-ADR,JD,262269.0,22111899.39,4.81
2021-04-05,ARKX,KOMATSU LTD,6301,652688.0,20240674.83,4.4
2021-04-05,ARKX,KRATOS DEFENSE & SECURITY,KTOS,946543.0,26777701.47,5.83
2021-04-05,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,109609.0,22318584.58,4.86
2021-04-05,ARKX,LOCKHEED MARTIN CORP,LMT,53533.0,19861813.66,4.32
2021-04-05,ARKX,MEITUAN-CLASS B,3690,87176.0,3652982.74,0.79
2021-04-05,ARKX,MORGAN STANLEY GOVT INSTL 8035,,193195.08,193195.08,0.04
2021-04-05,ARKX,NETFLIX INC,NFLX,10914.0,5887229.88,1.28
2021-04-05,ARKX,NVIDIA CORP,NVDA,28286.0,15627166.42,3.4
2021-04-05,ARKX,RAVEN INDUSTRIES INC,RAVN,220516.0,8485455.68,1.85
2021-04-05,ARKX,REINVENT TECHNOLOGY-CLASS A,RTP,316171.0,3215459.07,0.7
2021-04-05,ARKX,SPIRIT AEROSYSTEMS HOLD-CL A,SPR,295330.0,14645414.7,3.19
2021-04-05,ARKX,SYNOPSYS INC,SNPS,17865.0,4541818.95,0.99
2021-04-05,ARKX,TAIWAN SEMICONDUCTOR-SP ADR,TSM,38274.0,4776595.2,1.04
2021-04-05,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,27852.0,11626260.36,2.53
2021-04-05,ARKX,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,54835.0,4597366.4,1.0
2021-04-05,ARKX,TERADYNE INC,TER,100925.0,13000149.25,2.83
2021-04-05,ARKX,THALES SA,HO,177045.0,18197594.77,3.96
2021-04-05,ARKX,THE 3D PRINTING ETF,PRNT,702938.0,28026138.06,6.1
2021-04-05,ARKX,TRIMBLE INC,TRMB,496748.0,40104949.78,8.73
2021-04-05,ARKX,VIRGIN GALACTIC HOLDINGS INC,SPCE,288818.0,8881153.5,1.93
2021-04-05,ARKX,WORKHORSE GROUP INC,WKHS,345702.0,4888226.28,1.06
2021-04-05,ARKX,XILINX INC,XLNX,35668.0,4631489.8,1.01
