date,fund,company,ticker,shares,market value($),weight(%)
2021-03-31,ARKX,ALIBABA GROUP HOLDING-SP ADR,BABA,4408.0,1010534.0,1.59
2021-03-31,ARKX,ALPHABET INC-CL C,GOOG,854.0,1755431.16,2.76
2021-03-31,ARKX,AMAZON.COM INC,AMZN,612.0,1869837.48,2.94
2021-03-31,ARKX,ANSYS INC,ANSS,1837.0,609681.93,0.96
2021-03-31,ARKX,ATLAS CREST INVESTMENT COR-A,ACIC,44755.0,452920.6,0.71
2021-03-31,ARKX,AUTODESK INC,ADSK,1898.0,509480.14,0.8
2021-03-31,ARKX,BOEING CO/THE,BA,8990.0,2265569.9,3.57
2021-03-31,ARKX,DASSAULT SYSTEMES SE,DSY,7502.0,1590099.74,2.5
2021-03-31,ARKX,DEERE & CO,DE,5327.0,1991871.84,3.14
2021-03-31,ARKX,ELBIT SYSTEMS LTD,ESLT,6613.0,935078.2,1.47
2021-03-31,ARKX,GARMIN LTD,GRMN U,9797.0,1280761.81,2.02
2021-03-31,ARKX,HEICO CORP,HEI,5756.0,712592.8,1.12
2021-03-31,ARKX,HONEYWELL INTERNATIONAL INC,HON,3245.0,707702.05,1.11
2021-03-31,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,69311.0,2758577.8,4.34
2021-03-31,ARKX,JD.COM INC-ADR,JD,37350.0,3100050.0,4.88
2021-03-31,ARKX,KOMATSU LTD,6301,93188.0,2938333.73,4.63
2021-03-31,ARKX,KRATOS DEFENSE & SECURITY,KTOS,134895.0,3766268.4,5.93
2021-03-31,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,15613.0,3170688.04,4.99
2021-03-31,ARKX,LOCKHEED MARTIN CORP,LMT,7654.0,2836113.16,4.47
2021-03-31,ARKX,MEITUAN-CLASS B,3690,12576.0,474956.73,0.75
2021-03-31,ARKX,NETFLIX INC,NFLX,1589.0,815776.71,1.28
2021-03-31,ARKX,NVIDIA CORP,NVDA,4041.0,2080589.67,3.28
2021-03-31,ARKX,RAVEN INDUSTRIES INC,RAVN,31405.0,1173918.9,1.85
2021-03-31,ARKX,REINVENT TECHNOLOGY-CLASS A,RTP,45000.0,458550.0,0.72
2021-03-31,ARKX,SPIRIT AEROSYSTEMS HOLD-CL A,SPR,42063.0,2082118.5,3.28
2021-03-31,ARKX,SYNOPSYS INC,SNPS,2572.0,616251.2,0.97
2021-03-31,ARKX,TAIWAN SEMICONDUCTOR-SP ADR,TSM,5450.0,627131.5,0.99
2021-03-31,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,3980.0,1609551.8,2.53
2021-03-31,ARKX,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,7837.0,617790.71,0.97
2021-03-31,ARKX,TERADYNE INC,TER,14389.0,1668548.44,2.63
2021-03-31,ARKX,THALES SA,HO,25234.0,2519732.78,3.97
2021-03-31,ARKX,THE 3D PRINTING ETF,PRNT,100170.0,3808463.4,6.0
2021-03-31,ARKX,TRIMBLE INC,TRMB,70782.0,5382263.28,8.47
2021-03-31,ARKX,VIRGIN GALACTIC HOLDINGS INC,SPCE,41146.0,1240140.44,1.95
2021-03-31,ARKX,WORKHORSE GROUP INC,WKHS,49167.0,658837.8,1.04
2021-03-31,ARKX,XILINX INC,XLNX,5082.0,611364.6,0.96
2021-04-01,ARKX,AEROVIRONMENT INC,AVAV,45850.0,5321351.0,1.53
2021-04-01,ARKX,AIRBUS SE,AIR,48528.0,5493993.55,1.58
2021-04-01,ARKX,ALIBABA GROUP HOLDING-SP ADR,BABA,23933.0,5426329.09,1.56
2021-04-01,ARKX,ALPHABET INC-CL C,GOOG,4704.0,9730835.52,2.8
2021-04-01,ARKX,AMAZON.COM INC,AMZN,3362.0,10402296.96,2.99
2021-04-01,ARKX,ANSYS INC,ANSS,10087.0,3425141.72,0.98
2021-04-01,ARKX,ATLAS CREST INVESTMENT COR-A,ACIC,243580.0,2447979.0,0.7
2021-04-01,ARKX,AUTODESK INC,ADSK,10148.0,2812518.2,0.81
2021-04-01,ARKX,BOEING CO/THE,BA,48865.0,12446892.8,3.58
2021-04-01,ARKX,DASSAULT SYSTEMES SE,DSY,40777.0,8722250.65,2.51
2021-04-01,ARKX,DEERE & CO,DE,28977.0,10841454.78,3.12
2021-04-01,ARKX,ELBIT SYSTEMS LTD,ESLT,36038.0,5153434.0,1.48
2021-04-01,ARKX,GARMIN LTD,GRMN U,53247.0,7020616.95,2.02
2021-04-01,ARKX,HEICO CORP,HEI,31331.0,3941439.8,1.13
2021-04-01,ARKX,HONEYWELL INTERNATIONAL INC,HON,17545.0,3808493.15,1.09
2021-04-01,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,376761.0,15541391.25,4.47
2021-04-01,ARKX,JD.COM INC-ADR,JD,203175.0,17133747.75,4.92
2021-04-01,ARKX,KOMATSU LTD,6301,505688.0,15614786.83,4.49
2021-04-01,ARKX,KRATOS DEFENSE & SECURITY,KTOS,733295.0,20004287.6,5.75
2021-04-01,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,84913.0,17210166.84,4.95
2021-04-01,ARKX,LOCKHEED MARTIN CORP,LMT,41479.0,15326490.5,4.4
2021-04-01,ARKX,MEITUAN-CLASS B,3690,67576.0,2592089.53,0.74
2021-04-01,ARKX,MORGAN STANLEY GOVT INSTL 8035,,27134.93,27134.93,0.01
2021-04-01,ARKX,NETFLIX INC,NFLX,8464.0,4415330.24,1.27
2021-04-01,ARKX,NVIDIA CORP,NVDA,21916.0,11701609.88,3.36
2021-04-01,ARKX,RAVEN INDUSTRIES INC,RAVN,170830.0,6547913.9,1.88
2021-04-01,ARKX,REINVENT TECHNOLOGY-CLASS A,RTP,244925.0,2485988.75,0.71
2021-04-01,ARKX,SPIRIT AEROSYSTEMS HOLD-CL A,SPR,228788.0,11130536.2,3.2
2021-04-01,ARKX,SYNOPSYS INC,SNPS,13847.0,3431009.66,0.99
2021-04-01,ARKX,TAIWAN SEMICONDUCTOR-SP ADR,TSM,29650.0,3507002.0,1.01
2021-04-01,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,21580.0,8926567.0,2.57
2021-04-01,ARKX,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,42487.0,3390462.6,0.97
2021-04-01,ARKX,TERADYNE INC,TER,78189.0,9514037.52,2.73
2021-04-01,ARKX,THALES SA,HO,137159.0,13626951.65,3.92
2021-04-01,ARKX,THE 3D PRINTING ETF,PRNT,544570.0,21151098.8,6.08
2021-04-01,ARKX,TRIMBLE INC,TRMB,384832.0,29936081.28,8.6
2021-04-01,ARKX,VIRGIN GALACTIC HOLDINGS INC,SPCE,223746.0,6853339.98,1.97
2021-04-01,ARKX,WORKHORSE GROUP INC,WKHS,267792.0,3687495.84,1.06
2021-04-01,ARKX,XILINX INC,XLNX,27632.0,3423604.8,0.98
2021-04-05,ARKX,AEROVIRONMENT INC,AVAV,59178.0,7062894.3,1.54
2021-04-05,ARKX,AIRBUS SE,AIR,62640.0,7407771.07,1.61
2021-04-05,ARKX,ALIBABA GROUP HOLDING-SP ADR,BABA,30891.0,6930704.76,1.51
2021-04-05,ARKX,ALPHABET INC-CL C,GOOG,6076.0,12988969.0,2.83
2021-04-05,ARKX,AMAZON.COM INC,AMZN,4342.0,13725062.0,2.99
2021-04-05,ARKX,ANSYS INC,ANSS,13027.0,4583549.95,1.0
2021-04-05,ARKX,ATLAS CREST INVESTMENT COR-A,ACIC,314532.0,3183063.84,0.69
2021-04-05,ARKX,AUTODESK INC,ADSK,13088.0,3715683.2,0.81
2021-04-05,ARKX,BOEING CO/THE,BA,63075.0,15955452.0,3.47
2021-04-05,ARKX,DASSAULT SYSTEMES SE,DSY,52635.0,11606787.67,2.53
2021-04-05,ARKX,DEERE & CO,DE,37405.0,13919148.6,3.03
2021-04-05,ARKX,ELBIT SYSTEMS LTD,ESLT,46524.0,6699456.0,1.46
2021-04-05,ARKX,GARMIN LTD,GRMN U,68731.0,9107544.81,1.98
2021-04-05,ARKX,HEICO CORP,HEI,40445.0,5176151.1,1.13
2021-04-05,ARKX,HONEYWELL INTERNATIONAL INC,HON,22641.0,4908568.8,1.07
2021-04-05,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,486325.0,19550265.0,4.25
2021-04-05,ARKX,JD.COM INC-ADR,JD,262269.0,22111899.39,4.81
2021-04-05,ARKX,KOMATSU LTD,6301,652688.0,20240674.83,4.4
2021-04-05,ARKX,KRATOS DEFENSE & SECURITY,KTOS,946543.0,26777701.47,5.83
2021-04-05,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,109609.0,22318584.58,4.86
2021-04-05,ARKX,LOCKHEED MARTIN CORP,LMT,53533.0,19861813.66,4.32
2021-04-05,ARKX,MEITUAN-CLASS B,3690,87176.0,3652982.74,0.79
2021-04-05,ARKX,MORGAN STANLEY GOVT INSTL 8035,,193195.08,193195.08,0.04
2021-04-05,ARKX,NETFLIX INC,NFLX,10914.0,5887229.88,1.28
2021-04-05,ARKX,NVIDIA CORP,NVDA,28286.0,15627166.42,3.4
2021-04-05,ARKX,RAVEN INDUSTRIES INC,RAVN,220516.0,8485455.68,1.85
2021-04-05,ARKX,REINVENT TECHNOLOGY-CLASS A,RTP,316171.0,3215459.07,0.7
2021-04-05,ARKX,SPIRIT AEROSYSTEMS HOLD-CL A,SPR,295330.0,14645414.7,3.19
2021-04-05,ARKX,SYNOPSYS INC,SNPS,17865.0,4541818.95,0.99
2021-04-05,ARKX,TAIWAN SEMICONDUCTOR-SP ADR,TSM,38274.0,4776595.2,1.04
2021-04-05,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,27852.0,11626260.36,2.53
2021-04-05,ARKX,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,54835.0,4597366.4,1.0
2021-04-05,ARKX,TERADYNE INC,TER,100925.0,13000149.25,2.83
2021-04-05,ARKX,THALES SA,HO,177045.0,18197594.77,3.96
2021-04-05,ARKX,THE 3D PRINTING ETF,PRNT,702938.0,28026138.06,6.1
2021-04-05,ARKX,TRIMBLE INC,TRMB,496748.0,40104949.78,8.73
2021-04-05,ARKX,VIRGIN GALACTIC HOLDINGS INC,SPCE,288818.0,8881153.5,1.93
2021-04-05,ARKX,WORKHORSE GROUP INC,WKHS,345702.0,4888226.28,1.06
2021-04-05,ARKX,XILINX INC,XLNX,35668.0,4631489.8,1.01
2021-04-06,ARKX,AEROVIRONMENT INC,AVAV,70874.0,8621113.36,1.55
2021-04-06,ARKX,AIRBUS SE,AIR,68976.0,8182018.9,1.47
2021-04-06,ARKX,ALIBABA GROUP HOLDING-SP ADR,BABA,36997.0,8335424.1,1.5
2021-04-06,ARKX,ALPHABET INC-CL C,GOOG,7280.0,16202004.0,2.91
2021-04-06,ARKX,AMAZON.COM INC,AMZN,5202.0,16785449.46,3.01
2021-04-06,ARKX,ANSYS INC,ANSS,15607.0,5661595.32,1.02
2021-04-06,ARKX,ATLAS CREST INVESTMENT COR-A,ACIC,376796.0,3798103.68,0.68
2021-04-06,ARKX,AUTODESK INC,ADSK,15668.0,4517397.76,0.81
2021-04-06,ARKX,BOEING CO/THE,BA,75545.0,19593351.2,3.52
2021-04-06,ARKX,DASSAULT SYSTEMES SE,DSY,57959.0,12819909.69,2.3
2021-04-06,ARKX,DEERE & CO,DE,44801.0,16791862.81,3.01
2021-04-06,ARKX,ELBIT SYSTEMS LTD,ESLT,55726.0,7994451.96,1.43
2021-04-06,ARKX,GARMIN LTD,GRMN U,82319.0,11189621.67,2.01
2021-04-06,ARKX,HEICO CORP,HEI,48443.0,6257382.31,1.12
2021-04-06,ARKX,HONEYWELL INTERNATIONAL INC,HON,27113.0,5945067.51,1.07
2021-04-06,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,582473.0,23834795.16,4.28
2021-04-06,ARKX,JD.COM INC-ADR,JD,314127.0,25912336.23,4.65
2021-04-06,ARKX,KOMATSU LTD,6301,781688.0,24664723.23,4.43
2021-04-06,ARKX,KRATOS DEFENSE & SECURITY,KTOS,1133679.0,32275841.13,5.79
2021-04-06,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,131281.0,27286755.85,4.9
2021-04-06,ARKX,LOCKHEED MARTIN CORP,LMT,64111.0,24282041.25,4.36
2021-04-06,ARKX,MEITUAN-CLASS B,3690,95376.0,3996103.47,0.72
2021-04-06,ARKX,MORGAN STANLEY GOVT INSTL 8035,,2125950.75,2125950.75,0.38
2021-04-06,ARKX,NETFLIX INC,NFLX,13064.0,7063312.88,1.27
2021-04-06,ARKX,NVIDIA CORP,NVDA,33876.0,18953622.0,3.4
2021-04-06,ARKX,RAVEN INDUSTRIES INC,RAVN,264118.0,10144772.38,1.82
2021-04-06,ARKX,REINVENT TECHNOLOGY-CLASS A,RTP,378693.0,3832373.16,0.69
2021-04-06,ARKX,SPIRIT AEROSYSTEMS HOLD-CL A,SPR,353724.0,17456279.4,3.13
2021-04-06,ARKX,SYNOPSYS INC,SNPS,21391.0,5564013.01,1.0
2021-04-06,ARKX,TAIWAN SEMICONDUCTOR-SP ADR,TSM,45842.0,5707329.0,1.02
2021-04-06,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,33356.0,14040874.64,2.52
2021-04-06,ARKX,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,65671.0,5474334.56,0.98
2021-04-06,ARKX,TERADYNE INC,TER,120877.0,16037960.36,2.88
2021-04-06,ARKX,THALES SA,HO,194953.0,20099576.92,3.61
2021-04-06,ARKX,THE 3D PRINTING ETF,PRNT,841914.0,33878619.36,6.08
2021-04-06,ARKX,TRIMBLE INC,TRMB,594960.0,49821950.4,8.94
2021-04-06,ARKX,VIRGIN GALACTIC HOLDINGS INC,SPCE,345922.0,10239291.2,1.84
2021-04-06,ARKX,WORKHORSE GROUP INC,WKHS,414072.0,5478172.56,0.98
2021-04-06,ARKX,XILINX INC,XLNX,42720.0,5584785.6,1.0
2021-04-07,ARKX,AEROVIRONMENT INC,AVAV,75395.0,8852126.95,1.51
2021-04-07,ARKX,AIRBUS SE,AIR,79413.0,9494673.91,1.62
2021-04-07,ARKX,ALIBABA GROUP HOLDING-SP ADR,BABA,39340.0,9070623.8,1.54
2021-04-07,ARKX,ALPHABET INC-CL C,GOOG,7742.0,17224014.5,2.93
2021-04-07,ARKX,AMAZON.COM INC,AMZN,5532.0,17834172.24,3.04
2021-04-07,ARKX,ANSYS INC,ANSS,16597.0,5948696.74,1.01
2021-04-07,ARKX,ATLAS CREST INVESTMENT COR-A,ACIC,400688.0,4095031.36,0.7
2021-04-07,ARKX,AUTODESK INC,ADSK,16691.0,4765280.5,0.81
2021-04-07,ARKX,BOEING CO/THE,BA,80330.0,20497806.1,3.49
2021-04-07,ARKX,DASSAULT SYSTEMES SE,DSY,66737.0,14872703.95,2.53
2021-04-07,ARKX,DEERE & CO,DE,47639.0,17893684.79,3.05
2021-04-07,ARKX,ELBIT SYSTEMS LTD,ESLT,59257.0,8496861.23,1.45
2021-04-07,ARKX,GARMIN LTD,GRMN U,87533.0,11950005.16,2.03
2021-04-07,ARKX,HEICO CORP,HEI,51512.0,6697075.12,1.14
2021-04-07,ARKX,HONEYWELL INTERNATIONAL INC,HON,28862.0,6326261.78,1.08
2021-04-07,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,619400.0,25339654.0,4.31
2021-04-07,ARKX,JD.COM INC-ADR,JD,334026.0,27894511.26,4.75
2021-04-07,ARKX,KOMATSU LTD,6301,831188.0,25916201.9,4.41
2021-04-07,ARKX,KRATOS DEFENSE & SECURITY,KTOS,1205520.0,34526092.8,5.88
2021-04-07,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,139597.0,29220444.04,4.98
2021-04-07,ARKX,LOCKHEED MARTIN CORP,LMT,68203.0,25846890.91,4.4
2021-04-07,ARKX,MEITUAN-CLASS B,3690,97676.0,4092417.2,0.7
2021-04-07,ARKX,MORGAN STANLEY GOVT INSTL 8035,,3570571.83,3570571.83,0.61
2021-04-07,ARKX,NETFLIX INC,NFLX,13922.0,7580946.66,1.29
2021-04-07,ARKX,NVIDIA CORP,NVDA,36054.0,19990500.84,3.4
2021-04-07,ARKX,RAVEN INDUSTRIES INC,RAVN,280849.0,11113194.93,1.89
2021-04-07,ARKX,REINVENT TECHNOLOGY-CLASS A,RTP,402717.0,4087577.55,0.7
2021-04-07,ARKX,SPIRIT AEROSYSTEMS HOLD-CL A,SPR,376131.0,18400328.52,3.13
2021-04-07,ARKX,SYNOPSYS INC,SNPS,22777.0,5861888.72,1.0
2021-04-07,ARKX,TAIWAN SEMICONDUCTOR-SP ADR,TSM,48746.0,5968460.24,1.02
2021-04-07,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,35501.0,14892669.5,2.54
2021-04-07,ARKX,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,69862.0,5913818.3,1.01
2021-04-07,ARKX,TERADYNE INC,TER,128566.0,17019567.08,2.9
2021-04-07,ARKX,THALES SA,HO,224422.0,23245562.81,3.96
2021-04-07,ARKX,THE 3D PRINTING ETF,PRNT,895275.0,35739378.0,6.09
2021-04-07,ARKX,TRIMBLE INC,TRMB,632646.0,52459006.32,8.93
2021-04-07,ARKX,VIRGIN GALACTIC HOLDINGS INC,SPCE,367867.0,11297195.57,1.92
2021-04-07,ARKX,WORKHORSE GROUP INC,WKHS,440307.0,6080639.67,1.04
2021-04-07,ARKX,XILINX INC,XLNX,45426.0,5923550.4,1.01
2021-04-08,ARKX,AEROVIRONMENT INC,AVAV,70843.0,8031470.91,1.35
2021-04-08,ARKX,AIRBUS SE,AIR,79989.0,9548005.49,1.61
2021-04-08,ARKX,ALIBABA GROUP HOLDING-SP ADR,BABA,39624.0,8932042.08,1.5
2021-04-08,ARKX,ALPHABET INC-CL C,GOOG,7798.0,17543004.64,2.95
2021-04-08,ARKX,AMAZON.COM INC,AMZN,5572.0,18272761.08,3.07
2021-04-08,ARKX,ANSYS INC,ANSS,16717.0,5940218.78,1.0
2021-04-08,ARKX,ATLAS CREST INVESTMENT COR-A,ACIC,544684.0,5479521.04,0.92
2021-04-08,ARKX,AUTODESK INC,ADSK,16815.0,4811107.8,0.81
2021-04-08,ARKX,BOEING CO/THE,BA,80910.0,20436247.8,3.44
2021-04-08,ARKX,DASSAULT SYSTEMES SE,DSY,67221.0,14892243.2,2.51
2021-04-08,ARKX,DEERE & CO,DE,40202.0,15067307.58,2.53
2021-04-08,ARKX,ELBIT SYSTEMS LTD,ESLT,59685.0,8625676.2,1.45
2021-04-08,ARKX,GARMIN LTD,GRMN U,88165.0,11930487.8,2.01
2021-04-08,ARKX,HEICO CORP,HEI,51884.0,6647896.92,1.12
2021-04-08,ARKX,HONEYWELL INTERNATIONAL INC,HON,29074.0,6352669.0,1.07
2021-04-08,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,659839.0,26439748.73,4.45
2021-04-08,ARKX,JAWS SPITFIRE ACQUISITION-A,SPFR,241618.0,2527324.28,0.43
2021-04-08,ARKX,JD.COM INC-ADR,JD,336438.0,27335587.5,4.6
2021-04-08,ARKX,KOMATSU LTD,6301,837188.0,26100410.07,4.39
2021-04-08,ARKX,KRATOS DEFENSE & SECURITY,KTOS,1214228.0,33961957.16,5.71
2021-04-08,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,140605.0,29337233.25,4.94
2021-04-08,ARKX,LOCKHEED MARTIN CORP,LMT,68699.0,26118672.81,4.39
2021-04-08,ARKX,MEITUAN-CLASS B,3690,108076.0,4415033.75,0.74
2021-04-08,ARKX,MORGAN STANLEY GOVT INSTL 8035,,15746360.58,15746360.58,2.65
2021-04-08,ARKX,NETFLIX INC,NFLX,14026.0,7672081.74,1.29
2021-04-08,ARKX,NVIDIA CORP,NVDA,36318.0,20546545.32,3.46
2021-04-08,ARKX,RAVEN INDUSTRIES INC,RAVN,282877.0,10757812.31,1.81
2021-04-08,ARKX,REINVENT TECHNOLOGY-CLASS A,RTP,546525.0,5525367.75,0.93
2021-04-08,ARKX,SPIRIT AEROSYSTEMS HOLD-CL A,SPR,378847.0,18385444.91,3.09
2021-04-08,ARKX,SYNOPSYS INC,SNPS,22945.0,5896865.0,0.99
2021-04-08,ARKX,TAIWAN SEMICONDUCTOR-SP ADR,TSM,20349.0,2439641.61,0.41
2021-04-08,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,35761.0,14842960.66,2.5
2021-04-08,ARKX,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,70370.0,5507859.9,0.93
2021-04-08,ARKX,TERADYNE INC,TER,118196.0,15575868.88,2.62
2021-04-08,ARKX,THALES SA,HO,226046.0,23359267.51,3.93
2021-04-08,ARKX,THE 3D PRINTING ETF,PRNT,901743.0,35050750.41,5.9
2021-04-08,ARKX,TRIMBLE INC,TRMB,637214.0,50811444.36,8.55
2021-04-08,ARKX,VIRGIN GALACTIC HOLDINGS INC,SPCE,370523.0,10834092.52,1.82
2021-04-08,ARKX,WORKHORSE GROUP INC,WKHS,443487.0,5856245.84,0.99
2021-04-08,ARKX,XILINX INC,XLNX,45754.0,6024886.72,1.01
2021-04-09,ARKX,AEROVIRONMENT INC,AVAV,61847.0,7113023.47,1.09
2021-04-09,ARKX,AIRBUS SE,AIR,87425.0,10498749.08,1.61
2021-04-09,ARKX,ALIBABA GROUP HOLDING-SP ADR,BABA,43316.0,9886443.84,1.52
2021-04-09,ARKX,ALPHABET INC-CL C,GOOG,8526.0,19315141.44,2.97
2021-04-09,ARKX,AMAZON.COM INC,AMZN,6092.0,20099335.6,3.09
2021-04-09,ARKX,ANSYS INC,ANSS,18277.0,6620660.48,1.02
2021-04-09,ARKX,ATLAS CREST INVESTMENT COR-A,ACIC,595488.0,6193075.2,0.95
2021-04-09,ARKX,AUTODESK INC,ADSK,18375.0,5391776.25,0.83
2021-04-09,ARKX,BOEING CO/THE,BA,88450.0,22550327.5,3.47
2021-04-09,ARKX,DASSAULT SYSTEMES SE,DSY,73461.0,16597820.59,2.55
2021-04-09,ARKX,DEERE & CO,DE,43946.0,16438880.22,2.53
2021-04-09,ARKX,ELBIT SYSTEMS LTD,ESLT,65249.0,9487204.6,1.46
2021-04-09,ARKX,GARMIN LTD,GRMN U,96381.0,13072155.03,2.01
2021-04-09,ARKX,HEICO CORP,HEI,56720.0,7470024.0,1.15
2021-04-09,ARKX,HONEYWELL INTERNATIONAL INC,HON,31778.0,6986711.08,1.07
2021-04-09,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,721355.0,30325764.2,4.66
2021-04-09,ARKX,JAWS SPITFIRE ACQUISITION-A,SPFR,484345.0,5177648.05,0.8
2021-04-09,ARKX,JD.COM INC-ADR,JD,367794.0,30210599.16,4.65
2021-04-09,ARKX,KOMATSU LTD,6301,915188.0,28651693.3,4.41
2021-04-09,ARKX,KRATOS DEFENSE & SECURITY,KTOS,1327380.0,37604675.4,5.78
2021-04-09,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,153709.0,31893080.41,4.9
2021-04-09,ARKX,LOCKHEED MARTIN CORP,LMT,75095.0,28988171.9,4.46
2021-04-09,ARKX,MEITUAN-CLASS B,3690,118476.0,4887681.59,0.75
2021-04-09,ARKX,MORGAN STANLEY GOVT INSTL 8035,,825450.39,825450.39,0.13
2021-04-09,ARKX,NETFLIX INC,NFLX,15326.0,8499493.08,1.31
2021-04-09,ARKX,NVIDIA CORP,NVDA,39698.0,22734250.64,3.5
2021-04-09,ARKX,RAVEN INDUSTRIES INC,RAVN,309241.0,11930517.78,1.83
2021-04-09,ARKX,REINVENT TECHNOLOGY-CLASS A,RTP,597485.0,6148120.65,0.95
2021-04-09,ARKX,SPIRIT AEROSYSTEMS HOLD-CL A,SPR,414155.0,20301878.1,3.12
2021-04-09,ARKX,SYNOPSYS INC,SNPS,25077.0,6545347.77,1.01
2021-04-09,ARKX,TAIWAN SEMICONDUCTOR-SP ADR,TSM,22273.0,2749156.39,0.42
2021-04-09,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,39089.0,16382199.9,2.52
2021-04-09,ARKX,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,76922.0,6186836.46,0.95
2021-04-09,ARKX,TERADYNE INC,TER,129220.0,17305142.4,2.66
